figure_key,source_path,path,caption,model_scope,claim_role,copied,robustness_scope,required_for_report,selected_metric_set
13_fmf_output_amplitude_phase,results/platform_runs/task_a_n4_lp11x_like_camera_two_lobe/outputs/target_mode_proof_p46_s86_w85_f18_scf160_best/fde/field_packet/04_fmf_output_amplitude_phase.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/13_fmf_output_amplitude_phase.png,Retained-FDE reconstructed FMF output amplitude and phase. Camera-like appearance is diagnostic; modal metrics remain the success criterion.,Lumerical EME/COMSOL/retained-FDE supplemental evidence,supplemental_required_report_evidence,True,deferred,,
14_input_channel_amplitude_phase_power,results/platform_runs/task_a_n4_lp11x_like_camera_two_lobe/outputs/target_mode_proof_p46_s86_w85_f18_scf160_best/fde/field_packet/05_input_channel_amplitude_phase_power.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/14_input_channel_amplitude_phase_power.png,"Selected input-channel amplitude, phase, and power summary for the retained-FDE proof packet.",Lumerical EME/COMSOL/retained-FDE supplemental evidence,supplemental_required_report_evidence,True,deferred,,
15_polarization_stokes_maps,results/platform_runs/task_a_n4_lp11x_like_camera_two_lobe/outputs/target_mode_proof_p46_s86_w85_f18_scf160_best/fde/field_packet/06_polarization_stokes_maps.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/15_polarization_stokes_maps.png,"Polarization/Stokes diagnostic maps from the retained-FDE proof packet. This records polarization evidence, not robustness.",Lumerical EME/COMSOL/retained-FDE supplemental evidence,supplemental_required_report_evidence,True,deferred,,
16_jones_eme_fmf_output_intensity,results/platform_runs/task_a_n4_lp11x_like_camera_two_lobe/outputs/eme_jones_feasibility/fde_p46_s86_w85_f18_scf160_butt_cell1_remap_with_polarization/figures/jones_eme_fmf_output_intensity.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/16_jones_eme_fmf_output_intensity.png,Lumerical EME strict LP11x-like output intensity from the real S21 plus real cell-1 remap replay.,Lumerical EME/COMSOL/retained-FDE supplemental evidence,supplemental_required_report_evidence,True,deferred,,
17_comsol_jones_fmf_output_intensity,results/platform_runs/task_a_n4_lp11x_like_camera_two_lobe/outputs/comsol_jones_cross_check/task_a_n4_lp11x_p46_s86_w85_f18_scf160/figures/comsol_jones_fmf_output_intensity.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/17_comsol_jones_fmf_output_intensity.png,"COMSOL retained-basis replay of the locked EME Jones input. The output is LP11y-like, i.e. a 90-degree rotated LP11 two-lobe symmetry pass.",Lumerical EME/COMSOL/retained-FDE supplemental evidence,supplemental_required_report_evidence,True,deferred,,
18_comsol_jones_optimized_fmf_output_intensity,results/platform_runs/task_a_n4_lp11x_like_camera_two_lobe/outputs/comsol_jones_cross_check/task_a_n4_lp11x_p46_s86_w85_f18_scf160/figures/comsol_jones_optimized_fmf_output_intensity.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/18_comsol_jones_optimized_fmf_output_intensity.png,COMSOL retained-basis fallback Jones re-optimization. This confirms the same geometry can support strict LP11x-like output in the COMSOL basis.,Lumerical EME/COMSOL/retained-FDE supplemental evidence,supplemental_required_report_evidence,True,deferred,,
geometry,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/rsoft_beamprop_feasibility/figures/rsoft_lp11x_bpm_geometry.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/rsoft_lp11x_bpm_geometry.png,Geometry and aperture overview for the locked p46/SCF86 LP11x-like Jones candidate. This supports the structure claim only; it is not a modal-success metric.,RSoft BeamPROP scalar/semi-vector BPM,solver_or_input_evidence,True,deferred,True,refined
jones_input_controls,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/rsoft_beamprop_feasibility/figures/rsoft_lp11x_jones_input_controls.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/rsoft_lp11x_jones_input_controls.png,"Normalized 4-core x/y Jones launch amplitudes, phases, and power fractions imported from the EME-aware passing input. This documents the practical control architecture used by the BPM replay.",RSoft BeamPROP scalar/semi-vector BPM,solver_or_input_evidence,True,deferred,True,refined
xpol_launch_field,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/rsoft_beamprop_feasibility/figures/rsoft_lp11x_xpol_launch_field.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/rsoft_lp11x_xpol_launch_field.png,Coherent x-polarized BeamPROP launch mask amplitude and phase. This records input provenance and distinguishes the replay from an amplitude-only Gaussian launch.,RSoft BeamPROP scalar/semi-vector BPM,solver_or_input_evidence,True,deferred,True,refined
ypol_launch_field,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/rsoft_beamprop_feasibility/figures/rsoft_lp11x_ypol_launch_field.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/rsoft_lp11x_ypol_launch_field.png,Coherent y-polarized BeamPROP launch mask amplitude and phase. It is paired with the x-polarized subrun and both are combined by input power fraction.,RSoft BeamPROP scalar/semi-vector BPM,solver_or_input_evidence,True,deferred,True,refined
longitudinal_monitor,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/rsoft_beamprop_feasibility/figures/rsoft_lp11x_longitudinal_monitor.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/rsoft_lp11x_longitudinal_monitor.png,RSoft BeamPROP longitudinal monitor from the executed BPM runs. It supports solver-execution evidence but is not by itself a modal pass.,RSoft BeamPROP scalar/semi-vector BPM,solver_or_input_evidence,True,deferred,True,refined
final_field_panels,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/rsoft_beamprop_feasibility/figures/rsoft_lp11x_final_field_panels.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/rsoft_lp11x_final_field_panels.png,"Parsed final RSoft field panels used for local scalar LP-like projection. The projection is local reviewed evidence, not a vendor-certified native modal-overlap result.",RSoft BeamPROP scalar/semi-vector BPM,solver_or_input_evidence,True,deferred,True,refined
modal_power_bars,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/rsoft_beamprop_feasibility/figures/rsoft_lp11x_modal_power_bars.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/rsoft_lp11x_modal_power_bars.png,Local scalar LP-group projection power bars from the final BPM field. This figure supports the LP11 two-lobe Gate-I metric claim.,RSoft BeamPROP scalar/semi-vector BPM,modal_projection_metric,True,deferred,True,refined
gate_metric_summary,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/rsoft_beamprop_feasibility/figures/rsoft_lp11x_gate_metric_summary.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/rsoft_lp11x_gate_metric_summary.png,"Gate-I metric summary for eta, rho, captured power, and MMI gain against L=0. Robustness and native RSoft modal semantics are deferred.",RSoft BeamPROP scalar/semi-vector BPM,modal_projection_metric,True,deferred,True,refined
